Characteristic,Category,Frequency (%),Mean (SD)
Age,,,46.55 (16.44)
Gender,Male,85 (42.5%),
,Female,115 (57.5%),
,Transgender,0 (0.0%),
,Other/Prefer not to say,0 (0.0%),
Ethnicity,Hispanic (any race),92 (46.0%),
,Not Hispanic or Latino,108 (54.0%),
Race,Asian,93 (46.5%),
,White,87 (43.5%),
,Black or African American,35 (17.5%),
,American Indian or Alaska Native,30 (15.0%),
Education,High school only,38 (19.0%),
,Some college,33 (16.5%),
,Bachelor's degree,41 (20.5%),
,Master's degree,49 (24.5%),
,Doctoral degree,39 (19.5%),
Health Literacy,1,48 (24.0%),3.13 (1.45)
,2,40 (20.0%),
,3,38 (19.0%),
,4,37 (18.5%),
,5,37 (18.5%),
Subjective Numeracy Scale,1-1.99,45 (22.5%),3.07 (1.17)
,2-2.99,55 (27.5%),
,3-3.99,40 (20.0%),
,4-4.99,60 (30.0%),
,5-5.99,0 (0.0%),
,6,0 (0.0%),
Graphical Literacy Scale,0,0 (0.0%),3.12 (1.43)
,1,39 (19.5%),
,2,31 (15.5%),
,3,43 (21.5%),
,4,41 (20.5%),
,5,46 (23.0%),
,6,0 (0.0%),
,7,0 (0.0%),
Familiarity with Medical Tests,1,41 (20.5%),2.92 (1.40)
,2,44 (22.0%),
,3,42 (21.0%),
,4,36 (18.0%),
,5,37 (18.5%),
