participantId,ALT_further_block_urgency,ALT_further_gradient_urgency,ALT_further_simple_urgency,ALT_further_table_urgency,ALT_slightly_block_urgency,ALT_slightly_gradient_urgency,ALT_slightly_simple_urgency,ALT_slightly_table_urgency,Creatinine_further_block_urgency,Creatinine_further_gradient_urgency,Creatinine_further_simple_urgency,Creatinine_further_table_urgency,Creatinine_slightly_block_urgency,Creatinine_slightly_gradient_urgency,Creatinine_slightly_simple_urgency,Creatinine_slightly_table_urgency,Platelet_further_block_urgency,Platelet_further_gradient_urgency,Platelet_further_simple_urgency,Platelet_further_table_urgency,Platelet_slightly_block_urgency,Platelet_slightly_gradient_urgency,Platelet_slightly_simple_urgency,Platelet_slightly_table_urgency,ALT_block_urgency_diff,ALT_gradient_urgency_diff,ALT_simple_urgency_diff,ALT_table_urgency_diff,Creatinine_block_urgency_diff,Creatinine_gradient_urgency_diff,Creatinine_simple_urgency_diff,Creatinine_table_urgency_diff,Platelet_block_urgency_diff,Platelet_gradient_urgency_diff,Platelet_simple_urgency_diff,Platelet_table_urgency_diff,ALT_further_block_intention,ALT_further_gradient_intention,ALT_further_simple_intention,ALT_further_table_intention,ALT_slightly_block_intention,ALT_slightly_gradient_intention,ALT_slightly_simple_intention,ALT_slightly_table_intention,Creatinine_further_block_intention,Creatinine_further_gradient_intention,Creatinine_further_simple_intention,Creatinine_further_table_intention,Creatinine_slightly_block_intention,Creatinine_slightly_gradient_intention,Creatinine_slightly_simple_intention,Creatinine_slightly_table_intention,Platelet_further_block_intention,Platelet_further_gradient_intention,Platelet_further_simple_intention,Platelet_further_table_intention,Platelet_slightly_block_intention,Platelet_slightly_gradient_intention,Platelet_slightly_simple_intention,Platelet_slightly_table_intention,graphical_literacy_score,health_literacy,subjective_numeracy,familiarity,age,gender,ethnicity,race,education,prolific_id
59fa3f3705d1d60001f149da,,,,6.0,,,,5.0,,,,3.5,,,,4.0,,,,1.0,,,,2.0,,,,1.0,,,,-0.5,,,,-1.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,,,,,Willingness to wait,,,,Willingness to wait,5,4.0,2.75,1.0,33.0,Male,Not Hispanic or Latino,"[""White""]",Bachelor's degree,59fa3f3705d1d60001f149da
5aad4225811b2000016f6ed1,,,6.0,,,,3.5,,,,5.0,,,,4.0,,,,6.0,,,,4.5,,,,2.5,,,,1.0,,,,1.5,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,5,4.0,3.375,3.0,37.0,Male,Not Hispanic or Latino,"[""White""]",Bachelor's degree,5aad4225811b2000016f6ed1
5ac3c4470527ba0001c20712,4.5,,,,1.5,,,,3.5,,,,2.5,,,,3.0,,,,1.5,,,,3.0,,,,1.0,,,,1.5,,,,,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,,6,5.0,4.25,3.0,42.0,Female,Not Hispanic or Latino,"[""White""]",Master's degree,5ac3c4470527ba0001c20712
5d7e761f3c9c5e0016bd6255,,,,6.0,,,,5.0,,,,5.0,,,,5.0,,,,5.5,,,,3.0,,,,1.0,,,,0.0,,,,2.5,,,,Some form of immediate action,,,,,,,,,,,,,,,,,,,,Willingness to wait,4,4.0,3.5,3.0,32.0,Female,Not Hispanic or Latino,"[""White""]",Bachelor's degree,5d7e761f3c9c5e0016bd6255
5dec8925be656d35d4005320,,,,6.0,,,,4.0,,,,5.0,,,,4.0,,,,6.0,,,,3.5,,,,2.0,,,,1.0,,,,2.5,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,Willingness to wait,7,,,,,,,,,5dec8925be656d35d4005320
5ea9b1e1d3196e0ec4812709,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,,7,1.0,1.0,1.0,29.0,Male,Not Hispanic or Latino,"[""White""]",Bachelor's degree,5ea9b1e1d3196e0ec4812709
5ed2bb7a67d51b24b2ac4037,5.0,,,,2.5,,,,3.5,,,,3.0,,,,5.0,,,,2.0,,,,2.5,,,,0.5,,,,3.0,,,,,,,,Willingness to wait,,,,,,,,Willingness to wait,,,,,,,,Willingness to wait,,,,6,4.0,2.625,2.0,36.0,Male,Not Hispanic or Latino,"[""White""]",High school only,5ed2bb7a67d51b24b2ac4037
5faacca24cd0384c1fa08be1,,5.0,,,,2.0,,,,4.0,,,,3.0,,,,4.5,,,,1.5,,,,3.0,,,,1.0,,,,3.0,,,,Some form of immediate action,,,,Willingness to wait,,,,,,,,Willingness to wait,,,,,,,,Willingness to wait,,,6,3.0,3.625,2.0,25.0,Male,Not Hispanic or Latino,"[""White""]",High school only,5faacca24cd0384c1fa08be1
6025ba2ad22ee81ad428c38c,,,6.0,,,,2.5,,,,4.5,,,,3.0,,,,5.5,,,,1.0,,,,3.5,,,,1.5,,,,4.5,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,5,5.0,4.0,1.0,27.0,Male,Not Hispanic or Latino,"[""White""]",Master's degree,6025ba2ad22ee81ad428c38c
6034e1952ed073efce57a8a7,,,,6.0,,,,3.0,,,,4.0,,,,2.5,,,,6.0,,,,2.0,,,,3.0,,,,1.5,,,,4.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,4,5.0,4.5,4.0,32.0,Male,Not Hispanic or Latino,"[""White""]",Master's degree,6034e1952ed073efce57a8a7
