participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,meta,startTime,endTime,responseMin,responseMax,configHash
"59fa3f3705d1d60001f149da","participantTags","","participantTags","prolific full","","","","","","","","[]","","","","","","","","",""
"59fa3f3705d1d60001f149da","introduction","0","prolificId","prolific full","completed","","","","100.00","","Please enter your Prolific ID","59fa3f3705d1d60001f149da","","22020","22020","{
  ""taskId"": ""introduction"",
  ""trackTime"": true
}","2026-04-21T16:35:49.820Z","2026-04-21T16:36:11.840Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","introduction","0","windowEvents","prolific full","","","","","","","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":11,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","",""
"59fa3f3705d1d60001f149da","Platelet_slightly_table","1","Platelet_slightly_table_alarming","prolific full","completed","","","","100.00","","How alarming does this platelet count result feel to you?","2","","48972","48972","{
  ""taskId"": ""Platelet_slightly_table"",
  ""trackTime"": true
}","2026-04-21T16:36:12.309Z","2026-04-21T16:37:01.281Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Platelet_slightly_table","1","Platelet_slightly_table_urgency","prolific full","completed","","","","100.00","","How urgent of an issue is this platelet count result?","2","","48972","48972","{
  ""taskId"": ""Platelet_slightly_table"",
  ""trackTime"": true
}","2026-04-21T16:36:12.309Z","2026-04-21T16:37:01.281Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Platelet_slightly_table","1","Platelet_slightly_table_action","prolific full","completed","","","","100.00","","Which of the following best describes what you would do in response to your platelet count test result?","Talk to your doctor about this test result at your next regular appointment","","48972","48972","{
  ""taskId"": ""Platelet_slightly_table"",
  ""trackTime"": true
}","2026-04-21T16:36:12.309Z","2026-04-21T16:37:01.281Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Platelet_slightly_table","1","windowEvents","prolific full","","","","","","","","{""focus"":7,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":103,""mousedown"":11,""mouseup"":11,""resize"":0,""scroll"":21,""visibility"":0}","","","","","","","","",""
"59fa3f3705d1d60001f149da","Platelet_further_table","2","Platelet_further_table_alarming","prolific full","completed","","","","100.00","","How alarming does this platelet count result feel to you?","1","","9029","9029","{
  ""taskId"": ""Platelet_further_table"",
  ""trackTime"": true
}","2026-04-21T16:37:01.685Z","2026-04-21T16:37:10.714Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Platelet_further_table","2","Platelet_further_table_urgency","prolific full","completed","","","","100.00","","How urgent of an issue is this platelet count result?","1","","9029","9029","{
  ""taskId"": ""Platelet_further_table"",
  ""trackTime"": true
}","2026-04-21T16:37:01.685Z","2026-04-21T16:37:10.714Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Platelet_further_table","2","Platelet_further_table_action","prolific full","completed","","","","100.00","","Which of the following best describes what you would do in response to your platelet count test result?","Nothing","","9029","9029","{
  ""taskId"": ""Platelet_further_table"",
  ""trackTime"": true
}","2026-04-21T16:37:01.685Z","2026-04-21T16:37:10.714Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Platelet_further_table","2","windowEvents","prolific full","","","","","","","","{""focus"":4,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":48,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":4,""visibility"":0}","","","","","","","","",""
"59fa3f3705d1d60001f149da","ALT_slightly_table","3","ALT_slightly_table_alarming","prolific full","completed","","","","100.00","","How alarming does this alanine aminotransferase (ALT) result feel to you?","5","","9454","9454","{
  ""taskId"": ""ALT_slightly_table"",
  ""trackTime"": true
}","2026-04-21T16:37:11.512Z","2026-04-21T16:37:20.966Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","ALT_slightly_table","3","ALT_slightly_table_urgency","prolific full","completed","","","","100.00","","How urgent of an issue is this alanine aminotransferase (ALT) result?","5","","9454","9454","{
  ""taskId"": ""ALT_slightly_table"",
  ""trackTime"": true
}","2026-04-21T16:37:11.512Z","2026-04-21T16:37:20.966Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","ALT_slightly_table","3","ALT_slightly_table_action","prolific full","completed","","","","100.00","","Which of the following best describes what you would do in response to your ALT test result?","Go to a hospital as soon as you can get free later today","","9454","9454","{
  ""taskId"": ""ALT_slightly_table"",
  ""trackTime"": true
}","2026-04-21T16:37:11.512Z","2026-04-21T16:37:20.966Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","ALT_slightly_table","3","windowEvents","prolific full","","","","","","","","{""focus"":5,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":43,""mousedown"":7,""mouseup"":6,""resize"":0,""scroll"":6,""visibility"":0}","","","","","","","","",""
"59fa3f3705d1d60001f149da","ALT_further_table","4","ALT_further_table_alarming","prolific full","completed","","","","100.00","","How alarming does this alanine aminotransferase (ALT) result feel to you?","6","","16207","16207","{
  ""taskId"": ""ALT_further_table"",
  ""trackTime"": true
}","2026-04-21T16:37:21.585Z","2026-04-21T16:37:37.792Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","ALT_further_table","4","ALT_further_table_urgency","prolific full","completed","","","","100.00","","How urgent of an issue is this alanine aminotransferase (ALT) result?","6","","16207","16207","{
  ""taskId"": ""ALT_further_table"",
  ""trackTime"": true
}","2026-04-21T16:37:21.585Z","2026-04-21T16:37:37.792Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","ALT_further_table","4","ALT_further_table_action","prolific full","completed","","","","100.00","","Which of the following best describes what you would do in response to your ALT test result?","Go to a hospital immediately","","16207","16207","{
  ""taskId"": ""ALT_further_table"",
  ""trackTime"": true
}","2026-04-21T16:37:21.585Z","2026-04-21T16:37:37.792Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","ALT_further_table","4","windowEvents","prolific full","","","","","","","","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":42,""mousedown"":5,""mouseup"":6,""resize"":0,""scroll"":11,""visibility"":0}","","","","","","","","",""
"59fa3f3705d1d60001f149da","Creatinine_slightly_table","5","Creatinine_slightly_table_alarming","prolific full","completed","","","","100.00","","How alarming does this serum creatinine result feel to you?","4","","12086","12086","{
  ""taskId"": ""Creatinine_slightly_table"",
  ""trackTime"": true
}","2026-04-21T16:37:38.308Z","2026-04-21T16:37:50.394Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Creatinine_slightly_table","5","Creatinine_slightly_table_urgency","prolific full","completed","","","","100.00","","How urgent of an issue is this serum creatinine result?","4","","12086","12086","{
  ""taskId"": ""Creatinine_slightly_table"",
  ""trackTime"": true
}","2026-04-21T16:37:38.308Z","2026-04-21T16:37:50.394Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Creatinine_slightly_table","5","Creatinine_slightly_table_action","prolific full","completed","","","","100.00","","Which of the following best describes what you would do in response to your serum creatinine test result?","Go to a hospital or your doctor’s office tomorrow","","12086","12086","{
  ""taskId"": ""Creatinine_slightly_table"",
  ""trackTime"": true
}","2026-04-21T16:37:38.308Z","2026-04-21T16:37:50.394Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Creatinine_slightly_table","5","windowEvents","prolific full","","","","","","","","{""focus"":4,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":35,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":6,""visibility"":0}","","","","","","","","",""
"59fa3f3705d1d60001f149da","Creatinine_further_table","6","Creatinine_further_table_alarming","prolific full","completed","","","","100.00","","How alarming does this serum creatinine result feel to you?","3","","54184","54184","{
  ""taskId"": ""Creatinine_further_table"",
  ""trackTime"": true
}","2026-04-21T16:37:50.870Z","2026-04-21T16:38:45.054Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Creatinine_further_table","6","Creatinine_further_table_urgency","prolific full","completed","","","","100.00","","How urgent of an issue is this serum creatinine result?","4","","54184","54184","{
  ""taskId"": ""Creatinine_further_table"",
  ""trackTime"": true
}","2026-04-21T16:37:50.870Z","2026-04-21T16:38:45.054Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
"59fa3f3705d1d60001f149da","Creatinine_further_table","6","Creatinine_further_table_action","prolific full","completed","","","","100.00","","Which of the following best describes what you would do in response to your serum creatinine test result?","Go to a hospital or your doctor’s office tomorrow","","54184","54184","{
  ""taskId"": ""Creatinine_further_table"",
  ""trackTime"": true
}","2026-04-21T16:37:50.870Z","2026-04-21T16:38:45.054Z","","","36089c66f638dd341e0306766de015d1e50efe153b684fc8944fd96953507d11"
